"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT719459","hsa","hsa","hsa-miR-212-3p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719460","hsa","hsa","hsa-miR-132-3p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719453","hsa","hsa","hsa-miR-635","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719451","hsa","hsa","hsa-miR-1292-5p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719457","hsa","hsa","hsa-miR-1470","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719458","hsa","hsa","hsa-miR-2114-5p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719454","hsa","hsa","hsa-miR-3667-3p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719450","hsa","hsa","hsa-miR-4471","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719456","hsa","hsa","hsa-miR-4667-3p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719447","hsa","hsa","hsa-miR-450a-1-3p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719455","hsa","hsa","hsa-miR-6734-3p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719452","hsa","hsa","hsa-miR-6774-5p","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719449","hsa","hsa","hsa-miR-8059","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT719448","hsa","hsa","hsa-miR-7977","APBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT590660","mmu","mmu","mmu-miR-466a-5p","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT590659","mmu","mmu","mmu-miR-466e-5p","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT590665","mmu","mmu","mmu-miR-466d-5p","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT590662","mmu","mmu","mmu-miR-1187","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT590666","mmu","mmu","mmu-miR-466k","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT590661","mmu","mmu","mmu-miR-466p-5p","Apba1","0","0","0","0","1","0","0","1","2","2"
"MIRT590663","mmu","mmu","mmu-miR-466l-5p","Apba1","0","0","0","0","1","0","0","1","2","2"
